User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Aspek
Kanggo Dollanan,2025,5,entah sudah tahun berapa kali menginap di sari ater kamboti bandung yang dulunya memiliki nama yang berbeda sepertinya saat era covid ya ia memiliki lokasi strategis dengan pilihan kamar yang selalu jadi kamar mengembalikan memori terutama kamar super besar tanpa jendela dengan bak mandi didalamnya lebih dari 5 kali tinggal di kamar itu meskipun tanpa jendela ukurannya yang menunjukan era hotel lama membuat suasana tenang yang lapang tidak pernah ada masalah berarti di kamar itu ac oke kebersihan relatif baik dan lainnya kamar berjendela di 606 memiliki pemandangan tangkuban bagus ke arah pegunungan sepertinya terlihat juga klo dari sana sarapan khas hotel selevelnya juga disediakan hotel ini dan anda,BUMN,Bintang 4,SariAterKamboti,positive,Lokasi & Akses Strategis
miss annie,2025,4,begitu tiba kami disambut oleh petugas yang ramah dan sigap membantu lobbynya harum dan tersedia minuman selamat datang jadi kesan pertama cukup baik saya memesan tiga kamar untuk kamar orang tua yang berkasur ratu begitu pintunya dibuka langsung tercium bau asap rokok kami meminta pindah kamar dan prosesnya cepat hanya saja kamar penggantinya bertipe kembar untungnya tidak masalah bagi orang tua saya yang yang kurang beruntung karena mendapat kamar dengan ac yang mengeluarkan bau tidak sedap sehingga cukup mengganggu tidur untuk sarapan pilihannya cukup lengkap dan bahkan ada gerobak indomie jadi cukup menyenangkan selain itu tidak ada keluhan lain selama menginap,BUMN,Bintang 4,SariAterKamboti,positive,Pelayanan Staf & Keramahan
Hafidzah Alfiana,2025,5,menginap 3 hari 2 malam disini benar benar benar puas banget dari ambience hotel saat pertama masuk yang super santai dan aku diijinin awal cek masuk setelah perjalanan jauh bahkan lewat cek keluar pun tetap diijinin kamarnya luas banget bersih wangi sarapannya semuanya enak pokoknya bintang 10 deh selanjutnya kalau ke bandung pasti menginap disini lagi,BUMN,Bintang 4,SariAterKamboti,positive,Kebersihan & Kenyamanan Kamar
Anugrah Slamet,2025,5,kamarnya yang standar saja luas banget palong nilai uang yang delica katena murah dan bak mandi komplain saya sederhana semua kamar disitu rupanya merokok dan ventilasi ac mereka keliatannya pusat jdi klo kamar sebelah anda merokok aroma otomatis dan asap akan masuk ke kamar anda dan itu sangat mengganggu untuk sarapan standar bintang 3 lah masih kurang klo disebut sarapan bintang 4 tapi itu oke tidak terlalu krusial,BUMN,Bintang 4,SariAterKamboti,negative,Harga & Value for Money
Farin T,2025,5,hotel lama yang masih terawat dengan baik menu sarapan nya banyak rasanya enak cuma unt udara km tidak terlalu kencang kamar yang kmren di tidak dapat ada pemandangan samsek penuh tembok jadi kaya gmna ya suasananya pdhal di pemesanan di menyebutkan pemandangan kebun selebihnya oke,BUMN,Bintang 4,SariAterKamboti,positive,Kebersihan & Kenyamanan Kamar
Julyan Christy,2025,5,pertama kali menginap dua malam di sini sblmnya tulis catatan di aplikasi anak saya ultah kejutan sekali ternyata pihak hotel siapkan kue terima kasih yaa dari segi kamar meskipun terlihat hotel lama tapi secara keseluruhan memuaskan menu dingin sarapan juga beragam tapi ada satu hal yang bikin ganjel itu saat lagi sarapan tbtb ada entah mungkin senior atau jabatannya lebih tinggi menegur lebih tepatnya sedikit memori salah satu pegawai keliatannya sih masih anak baru dan ini terulang di hari kedua sarapan juga alangkah baiknya jika anak buah melakukan kesalahan disebut baik2 tidak ditegur atau dimarahi di tamu karena semua juga membutuhkan proses,BUMN,Bintang 4,SariAterKamboti,positive,Kualitas Makanan & Restoran
Nur Radiatun,2025,5,kemarin pesen kamar keluarga ruangannya besar bisa sampai 5 orang ada ruang tamu meja makan dan dapur sendiri ada mandi up nya juga harga jauh lebih murah dan dapat ruangan yang sangat nyaman sangat disarankan jika untuk beristirahat rame2 brg kelurga besar,BUMN,Bintang 4,SariAterKamboti,positive,Harga & Value for Money
Erika Sylvia,2025,2,saya berencana menginap di hotel ini karena kebetulan ada acara di hotel ini tapi ternyata kamarnya tidak 339 bau lembab di atas langit-langit ada yang berjamur bekas bokor bbrp kamar yang duduk di atas ternyata mirip kondisinya sofa2 baru berdebu tempat tidur kurang bersih berpasir dan akhirnya saya dan keluarga mlm2 memutuskan untuk tidak jadi menginap di sana meskipun sudah membayar kartu kamar kami berikan kepada teman kami yang kebetulan berencana untuk menginap di sana waktu acara makan malam kami disajiman sup tidak tahu sup apa tapi rasanya benar2 tidak enak kemudian saya enak memesan tender itu jg tidak sama sekali tidak jelas rasanya daging malah,BUMN,Bintang 4,SariAterKamboti,negative,Kebersihan & Kenyamanan Kamar
Er wanto,2025,5,sangat2 nyaman menginap di sini tidak bising apapun tidak terdengar suara jln dn langkah kaki karena karpet penuh jdi tempat yang jam sll di kunjugi klw ke bandung,BUMN,Bintang 4,SariAterKamboti,positive,Kebersihan & Kenyamanan Kamar
Annisa Nurainy,2025,2,padahal menginap di sini sudah kali kedua pertama berlibur bersama keluarga besar dan mengambil kamar ada 3 kamar dalam satu ruang waktu itu saya cinta bingtang 5 dan hari ini baru cek keluar dengan kondisi sangat kecewa dengan layanannya meskipun sepel sangat kecewa sekali saya ibu menyusui dan ibu hasil saya taro di kulkas kamar tapi ternyata di kamar kulkasnya hanya dingin saja tidak bisa beku jadi saya menitip di restoran ketika jam sarapan saya untuk memasukkan es gelnya ke freezer resto dan akan saya ambil ketika cek keluar dari dua saat mau mengambil es masih tergeletak di meja resepsi restoran ini mengejutkan saya,BUMN,Bintang 4,SariAterKamboti,negative,Kualitas Makanan & Restoran
mrs june,2025,2,Jorok sprei sarung bantal coklat2 kayanya tidak diganti di kamar paviliun tidak ada colokan kamar sudah tua lemari bau semua berdebu,BUMN,Bintang 4,SariAterKamboti,negative,Fasilitas Hotel (Kolam/Gym/Spa)
Arif Mustofa,2025,5,Hotel bintang 4 harga bintang 2 dengan harga segitu semua kekurangan akan tertutup spesial sarapan nya oke banget,BUMN,Bintang 4,SariAterKamboti,positive,Kualitas Makanan & Restoran
Annida,2025,5,kami menginap di kamar superior dengan fasilitas king bed dan kamar mandi sudah dilengkapi kamar mandi tidak melihat tanpa jendela tersedia fasilitas minuman teh kopi dan pemanas air untuk ruangan cukup bersih dan luas sarapan yang tersedia beragam hotel jg dilengkapi dengan gym dan kolam renang secara keseluruhan dari segi pelayanan dan fasilitas cukup baik sayangnya ada menghubungkan pintu kamar kami yang tidak kedap suara berhasil suara dapat saling terdengar ke kamar dan cukup mengganggu jika kamar sebelah sedang berisik untuk yang membawa kendaraan dan ke sini saat liburan perlu meluangkan waktu lebih banyak untuk bolak balik hotel jika ingin bepergian jalan2 karena daerah di sekitar hotel lumayan macet,BUMN,Bintang 4,SariAterKamboti,positive,Fasilitas Hotel (Kolam/Gym/Spa)
hilda damayanti,2025,4,kamarnya bagus luas saya tinggal di kamar tipe suite deluxe cuman kayanya butuh pemeliharaan lebih karena di sudut kamarnya ada jamur yang membutuhkan saya juga di turutin terimakasih menu sarpannya juga enak dan beraneka ragam mungkin jika saya kebandung lagi akan menginap di sini lagi,BUMN,Bintang 4,SariAterKamboti,positive,Kebersihan & Kenyamanan Kamar
cho sen soesilo,2025,5,cukup oke lah untuk hotel walau berumur kamar msh oke bersih dingin ac ny pula terawat sedikit lah fasilitas jg oke ada kolam renang dan gym di kota jg dokter pintu kluar tol padang rumput bagus hotel lah,BUMN,Bintang 4,SariAterKamboti,positive,Kebersihan & Kenyamanan Kamar
Carla Aleeshya,2025,4,kamarnya luas tempatnya bersih juga pelayanan ramah lokasi juga strategis dekat sama tol pastor silahkan yang mampir ke bandung nginap di kamboti,BUMN,Bintang 4,SariAterKamboti,positive,Kebersihan & Kenyamanan Kamar
Wisnu Wicaksana,2025,5,menginap di sini senin 23 juni sampai rabu 25 juni 2025 untuk kamar bersih pelayanan hotel juga cukup baik makanan nya juga lumayan banyak variasiinya resepsionis juga sangat membantu dan menginap di sini dapat tiket untuk dua orang ke sari ater yang disubang yang kurang fasilitas untuk anak saja selebihnya bagus,BUMN,Bintang 4,SariAterKamboti,positive,Kebersihan & Kenyamanan Kamar
muflih dermawan,2025,5,hotel berhasil pada masanya tapi tetap terjaga kenyamanannya sampai masa kini ruangan luas nyaman bersih sarapan bervariasi enak dan suasana restoran adem kolam renang juga bersih dingin banget airnya ada bagi kopi juga di dalam area hotel mantaps,BUMN,Bintang 4,SariAterKamboti,positive,Kebersihan & Kenyamanan Kamar
