User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Haju 1234,2025.0,5,di bagian kamar sudah lengkap di menyediakan alat mandi dll juga tersedia makanan ringan minuman jika saat waktu penghuni kamar membutuhkan kemudian hotel sudah menerapkan diet minimalisir plastik dengan atau tanpa ada udara mineral di kamar,BUMN,Bintang 3,CordiaBanjarmasin,positive,0.9020293951034546,Facilities & Amenities,Facilities & Amenities (0.99); Food & Beverage (0.94); Service Efficiency & Responsiveness (0.90)
Farid Alwanny,2025.0,5,kamar nya oke banget cocok buat transit nyaman bersih pelayanan nya juga oge gercep dan kru nya juga sopan2 banget setiap berpapasan pasti di greeting sama kru nya,BUMN,Bintang 3,CordiaBanjarmasin,positive,0.9991507530212402,Room Quality & Comfort,"Room Quality & Comfort (0.98); Service Quality (0.97); Cleanliness, Hygiene & Maintenance (0.97)"
try budi,2025.0,5,pengalaman pertama menginap di hotel dalam bandara cordia hotel ini termasuk hotel kompak tapi kita dibuat tetap bisa merasakan pengalaman menginap di hotel keren dalam bandara,BUMN,Bintang 3,CordiaBanjarmasin,positive,0.9968462586402893,Guest Experience,Guest Experience (0.86); Room Quality & Comfort (0.82); Facilities & Amenities (0.68)
Dey Frog,2025.0,5,staf sangat ramah kamar bersih dan udara mereka sangat strategis dan memudahkan untuk penerbangan pagi,BUMN,Bintang 3,CordiaBanjarmasin,positive,0.9994444251060486,Facilities & Amenities,Facilities & Amenities (1.00); Service Quality (1.00); Room Quality & Comfort (0.99)
Anton Priyono,2025.0,5,pengalaman pertama menginap di hotel dalam bandara cordia hotel ini termasuk hotel kompak tapi kita dibuat tetap bisa merasakan pengalaman menginap di hotel reguler ukurannya cukup tidak sempit kamar mandi juga masih tergolong nyaman makanan sarapannya juga banyak pilihan dan yang perlu diapresiasi adalah layanan dari stafnya sangat baik kekurangannya yaitu karena lokasi di dalam bandara jika mau membeli makanan pilihannya cuma yang tersedia di dalam bandara saja secara keseluruhan dianjurkan ini cordia,BUMN,Bintang 3,CordiaBanjarmasin,positive,0.9978502988815308,Service Quality,Service Quality (0.99); Facilities & Amenities (0.98); Staff Conduct & Hospitality (0.92)
Nabsat 19,2025.0,5,kamar bersih ac pusat dingin tidak ada bau apek khas ac pusat pelayanan ramah ada layanan cek masuk kan bagasi serta ada layanan jalur masuk tembusan yang byr nya 50rb per kepala untuk bagasi sedangkan untuk jalur tembusan bayarnya 50rb per kepala makanan khas lounge bandara yang bebas makan sepuasnya namun menuunya khas dunia perhotelan,BUMN,Bintang 3,CordiaBanjarmasin,positive,0.9988600015640259,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.98); Facilities & Amenities (0.97); Service Efficiency & Responsiveness (0.95)"
Lazarus Christova,2025.0,3,hotel bersih pelayanan baik minusnya nya berisik sulit untuk tidur disini antara jam 04 00 22 00 suara layanan pnggilan dari bandara sangat terdengar,BUMN,Bintang 3,CordiaBanjarmasin,positive,0.8721752166748047,Service Quality,"Service Quality (0.98); Facilities & Amenities (0.94); Cleanliness, Hygiene & Maintenance (0.92)"
Petrisia Inriany,2025.0,5,Pelayanan oke tapi kamarnya tidak kedap suara tapi sejauh ini baik si,BUMN,Bintang 3,CordiaBanjarmasin,positive,0.6793168187141418,Guest Experience,Guest Experience (1.00); Service Quality (1.00); Facilities & Amenities (0.98)
Komang Pradnyana,2025.0,2,hotel di dalam lingkungan bandara syamsudin noor banjarbaru lokasi masuk melalui pintu kedatangan ada tangga dan lift untuk bisa ke resepsionis di lantai 2 waktu check masuk diminta untuk deposit 50rb karena untuk buat jaga jaga jika ada pemakaian mini bar di kamar untuk memeriksa masuk pesawat bisa dibantu di resepsionis ya tunjukkan saja saja boarding pass nya nanti juga ada tempat pemeriksaan barang pakai x ray di pintu keluar hotel btw kamarnya saya di 307 itu cukup jauh dari resepsionis kira2 melewati lorong sepanjang 300 400 meter lah lumayan juga jauhnya untuk kamar saya sih cukup bersih dan luasnya cukup buat saya cuma,BUMN,Bintang 3,CordiaBanjarmasin,positive,0.609720766544342,Pricing & Value for Money,Pricing & Value for Money (0.62); Facilities & Amenities (0.60); Check in/out Experience (0.53)
noorlydia febrianty,2025.0,5,Tempatnya strategis bersih dan nyaman cocok untuk transit,BUMN,Bintang 3,CordiaBanjarmasin,positive,0.999161958694458,Room Quality & Comfort,"Room Quality & Comfort (1.00); Facilities & Amenities (0.99); Cleanliness, Hygiene & Maintenance (0.99)"
NATASHYA TOBING,2025.0,4,Tempatnya strategis bersih dan nyaman cocok untuk transit,BUMN,Bintang 3,CordiaBanjarmasin,positive,0.999161958694458,Room Quality & Comfort,"Room Quality & Comfort (1.00); Facilities & Amenities (0.99); Cleanliness, Hygiene & Maintenance (0.99)"
Riefky Prajasa,2025.0,5,sudah beberapa kali menginap di sini dan selalu puas pertama karena pastinya lokasi di dalam bandara jika penerbangan pagi tidak perlu khawatir karena ada akses khusus penghuni hotel untuk langsung menuju ruang tunggu melalui pintu pemeriksaan sendiri kedua udara panas tidak pernah gagal mereka dan panas banget ketiga karena kamar bersih dan nyaman kekurangannya mungkin juga ada beberapa ya pertama makanannya kurang bervariasi jadi jika menginap beberapa malam nanti sarapannya menuunya itu saja suara pengumuman keberangkatan dan kedatangan kedengaran banget sampai di kamar tidur jadi agak tidak nyaman tapi agak untung juga sih jadi bikin tidak terlambat naik pesawat,BUMN,Bintang 3,CordiaBanjarmasin,positive,0.9973711967468262,Facilities & Amenities,"Facilities & Amenities (0.97); Location, Accessibility & Parking (0.88); Cleanliness, Hygiene & Maintenance (0.86)"
Ronald Kurniawan,2024.0,5,Kondisi kamar bersih rapi dan sedikit sempit kamar karena memang lokasi di dalam bandara fasilitas dalam kamar ada TV udara panas di toilet dispenser untuk pengisian minum udara meja dan kursi fasilitas lain ada tempat fitness dan gym ada kafe di dalam hotel ada akses langsung ke pintu bandara dari hotel pelayanan cepat baik ramah dan responsif lokasi sangat strategis karena berada di dalam bandara tidak takut untuk telat naik pesawat,BUMN,Bintang 3,CordiaBanjarmasin,positive,0.9991361498832703,Service Efficiency & Responsiveness,"Service Efficiency & Responsiveness (1.00); Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (1.00)"
Syifa Al-Fathir M,2023.0,5,lokasi hotel ini berada di daerah dalam bandara nyaman banget karena terhitung hotel baru tidak berharap akan sebersih ini dan pelayanannya juga cpt dan ramah ramah menu sarapannya memang tidak terlalu bervariasi tapi lumayan enak hanya jarak dari lobi ke kamar memang cukup jauh karena luas memang tapi layak untuk yang ada penerbangan pagi banget atau waktu waktu nanggung karena hotel ini bisa memesan untuk transit atau penuh hari,BUMN,Bintang 3,CordiaBanjarmasin,positive,0.998855710029602,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (0.99); Facilities & Amenities (0.97); Service Quality (0.97)
Nadira Nur'aini,2024.0,5,nyari tempat istirahat yang dekat bandara harga 300 0 untuk 6 jam oke lah kamarnya nyaman cukup bersih fasilitas kitnya lumayan di lorong disediakan dispenser udara cuma untuk pembatalan suaranya agak kurang,BUMN,Bintang 3,CordiaBanjarmasin,positive,0.998596727848053,Facilities & Amenities,Facilities & Amenities (0.98); Pricing & Value for Money (0.92); Room Quality & Comfort (0.92)
chairunisa daulay,2025.0,5,hotel di dalam bandara yang sangat nyaman,BUMN,Bintang 3,CordiaBanjarmasin,positive,0.9989418387413025,Room Quality & Comfort,Room Quality & Comfort (0.96); Service Quality (0.95); Facilities & Amenities (0.94)
agus salim w,2024.0,5,kamar bagus finishingnya rapi ac samsung tanam sejuk sekali kasur nyaman tidur nyenyak snack dan air mineral 1 5 liter berbayar 50 ribu yang gratis air dispenser di lorong sarapan sahur nya enak ada soto banjar bubur ayam nasi lauk kue puding meski tak banyak pilihan pegawainya ramah menyapa selamat pagi malam ke tamu lokasinya di dalam terminal kedatangan dekat indomaret aw dll akses pakai lift gratis parkir dan cekin pesawat nyaman cocok buat buat yang tibalaman penerbangan terakhir atau yang kejar penerbangan pagi penerbangan pertama penerbangan minusnya cuma tarif kema kemainya agak ketinggian 400 500 ribu untuk,BUMN,Bintang 3,CordiaBanjarmasin,positive,0.999459445476532,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.98); Facilities & Amenities (0.97); Staff Conduct & Hospitality (0.95)"
Opini Banua,2025.0,5,pelayanan mantap servis juga memuaskan top banget,BUMN,Bintang 3,CordiaBanjarmasin,positive,0.9994459748268127,Service Quality,Service Quality (1.00); Service Efficiency & Responsiveness (0.97); Guest Experience (0.94)
Cherry Belle,2024.0,3,kecewaa merasa tertipu di telepon di tanya sudah smart tv belum bilang nya uda giliran uda dipesan ternyata sampe sini tidak smart tv staf nya smua kurang update staf saya malah plonga plongo di tnya smart tv tu apa ampun dah sebeel,BUMN,Bintang 3,CordiaBanjarmasin,negative,0.9995026588439941,Booking & Reservation Experience,Booking & Reservation Experience (0.71); Service Quality (0.59); Management & Policy Issues (0.48)
Haris Fatkhurokhman,2024.0,5,Jika bisa kamar kepala 2 lumayan tapi jika kepala 3 jauhnya ampunn jalannya ngelewatin 2 lorong layanan oke nyaman oke tapi sayang tidak ada kamar yang punya jendela,BUMN,Bintang 3,CordiaBanjarmasin,positive,0.6498658657073975,Service Quality,Service Quality (0.93); Facilities & Amenities (0.90); Guest Experience (0.79)
Pambasuhan Nilam,2024.0,5,Banyak keuntungan yang dapat di dapatkan di sini 1 chack masuk bisa melalui hotel 2 bagasi di urus pihak hotel 3 akses langsung keruang tunggu tanpa harus muter cuman fasilitas ini hanya berlaku sampai pukul 10.00 pagi semoga jam akses keruang tunggu bisa lebih lama lagi agar tidak perlu muter 4 saat chack masuk semua fasilitas yang ditawarkan oleh fo 5 parkir grtis setiap bepergian keluar kota memperbaiki nginap di sini,BUMN,Bintang 3,CordiaBanjarmasin,positive,0.991191565990448,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.98); Facilities & Amenities (0.93); Service Quality (0.85)"
AKMAL NUR MUHAMMAD FA SAJ,2025.0,5,mantapu jiwa saya tetap di banjar selalu disini,BUMN,Bintang 3,CordiaBanjarmasin,positive,0.9985093474388123,Cultural & Heritage Experience,Cultural & Heritage Experience (0.86); Guest Experience (0.79); Religious & Halal Features (0.78)
Whizz Wall,2025.0,5,di dalam bandara pelayanan cek masuk pesawat di hotel mantap kali,BUMN,Bintang 3,CordiaBanjarmasin,positive,0.5601599216461182,Service Quality,Service Quality (0.98); Guest Experience (0.93); Staff Conduct & Hospitality (0.88)
meutia fitri hasan,2023.0,5,Sejauh ini pilihan terbaik jika mau terbang pagi meskipun agak jauh dari terminal keberangkatan dan harus jalan kaki sekitar 15 menit jangan lupa cek dulu kamarnya sebelum dipakai ya karena pernah terjadi udara panasnya mati tapi saya pria protes juga karena sudah malem,BUMN,Bintang 3,CordiaBanjarmasin,positive,0.9526988863945007,Check in/out Experience,Check in/out Experience (0.93); Facilities & Amenities (0.91); Booking & Reservation Experience (0.85)
Junaidy Bpp,2023.0,5,kamar ya sangat sangat modern minimalis untuk sarapan nya sesuai kebutuhan dan tema indonesia sarapan nya bagus mengangkat makan makan lokal di banjarmasin pelayanan sangat baik dan cepat tenang ngga usah buru buru buru lagi untuk mau berangkat dan bepergian karena daerah terletak saat di dalam bandara,BUMN,Bintang 3,CordiaBanjarmasin,positive,0.9994505047798157,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (1.00); Service Quality (0.99); Facilities & Amenities (0.99)
Andika Aziz,2023.0,4,kamarnya sempit tapi cukuplah untuk sekedar transit atau menunggu penerbangan besok lokasinya yang berada di dalam bandara sangat membantu penumpang yang sulit ribet dari hotel di luar bandara harga terjangkau,BUMN,Bintang 3,CordiaBanjarmasin,positive,0.9974963068962097,Facilities & Amenities,Facilities & Amenities (0.93); Service Quality (0.87); Pricing & Value for Money (0.86)
