User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Aspek
nunung nurhayati,2025,5,sangat berharga sih kalau menurut saya hotelnya bersih pelayanan ramah makanan lumayan enak serunya lagi terkoneksi dengan mall yaa meskipun agak sepi mall nya tapi foodcourt nya cukup bersahabat di lidahku yang dari jakarta dan yang yang paling saya suka hotelnya dekat masjid hm kebetulan kamar saya bersebrangan dengan masjid dan setiap masuk waktu sholat pastikan dengan bacaan alquran atau sholatatan hm pergi bawaanya jam 3 sudah dibangun sama murottal dianjurkan deh,BUMN,Bintang 3,PalmParkSurabaya,positive,Kebersihan & Kenyamanan Kamar
Bagas Pamenang,2025,1,Barusan saya cek masuk parkir jauh di atas tidak sesuai penanda sampai harus bertanya keamanan 3x sampai di lobi saya yang pergi ke surabaya untuk perjalanan dinas bawa koper dan barang2 tidak ada tim keamanan hotel yang bantu bawa barang saya pesan kamar deluxe dengan single buruk tapi d berikan yang kembar mngkin karena beratnya lewat online jadi d kasih kamar yang jarang laku yaa saya minta kamar yang tunggal buruk tidak dikasih sama hotel dengan alasan semua kamar penuh padahal dari tatapan mata saja terlihat jika petugas resepsinya bohong padahal jika saya memang ada dan harus menambah anggaran mengatakanapun gpp akhirnya dapat kamar kembar yang saya harus,BUMN,Bintang 3,PalmParkSurabaya,negative,Infrastruktur (AC/WiFi/Parkir/Air)
andie rilangi,2025,1,plusnya kamar luas itu saja kamar super jorok yah jorok kamar mewah tapi jorok kecoa lalu lalang sampai masuk ke dalam gelas minum super trauma gegara kecoa disini ampun petugas datang menyemprot baunya minta ampun kaya kita yang mau mati di dalam kamar sedang kecoanya masih berkeliaran di resto pun kecoanya masih berkeliaran malah kecoanya mondar mandir di atas meja roti sadar diri wahai pemilik hotel tutup dulu hotelnya sebelum selesai masalah kecoa makan baru harus cek hotel kesehatan ini berbahaya sekali masalah hiegenis makanan dll sayur dan pada buah tidak seger ampun dah barusan,BUMN,Bintang 3,PalmParkSurabaya,negative,Kualitas Makanan & Restoran
Rovallgio Lucky,2025,3,pernah mengikuti acara di lokasi hotel ini untuk parkir bergabung dengan kaza mall untuk aulanya ada dua ruangan yang cukup luas dengan suara cukup oke menu makanannya enak namun sayang kebersihan lokasi kurang terjaga dimana saat itu kecoa kecil berseliweran hal yang seharusnya tidak terjadi begitu pula kondisi lorong yang kurang terjaga kebersihannya seharusnya hotel ini memiliki potensi yang bagus jika bisa memperbaiki kebersihan agar kenyamanan pengunjung dapat ditingkatkan lebih,BUMN,Bintang 3,PalmParkSurabaya,positive,Kualitas Makanan & Restoran
Yogi Ananto,2025,5,hotel termasuk baru 2019 jadi fasilitas masih bagus dan terawat terintegrasi dengan mall kaza dan bioskop dekat dengan pasar dicatat jangan lupa parkir di atas sendiri lt p3 dan jika bawa mobil jangan lupa untuk minta cap karcis parkir di resepsionis untuk parkir tamu gratis hotel,BUMN,Bintang 3,PalmParkSurabaya,positive,Lokasi & Akses Strategis
Alfiya,2025,5,parkir nya langsung bergabung sama mall nya turun dari hotel bisa atau langsung menghubung ke dalam mall nya tempatnya luas kamar mandi nya bersih aula besarr cocok untuk acara pernikahan dan lain ada musholla nya juga,BUMN,Bintang 3,PalmParkSurabaya,positive,Kebersihan & Kenyamanan Kamar
Indah Hutasoit,2025,4,Lokasi baru cukup strategis kamar tidak terlalu sempit ada area dan ruang untuk santai anak-anak ramah,BUMN,Bintang 3,PalmParkSurabaya,positive,Lokasi & Akses Strategis
allan gusdorofamokti,2025,1,Banyak kue dikamar mana mana mana meskipun sudah pindah kamar g akan tetap disini lagi,BUMN,Bintang 3,PalmParkSurabaya,positive,Kualitas Makanan & Restoran
Hanif Fadhil,2025,5,bersih kamar sesuai aplikasi pelayanan sangat ramah dan menyenangkan,BUMN,Bintang 3,PalmParkSurabaya,positive,Kebersihan & Kenyamanan Kamar
erlyna sita,2025,5,Waktu itu mengikuti seminar Eljo hall nya luas pelayanan bagus makanannya lumayan cemilannya banyak,BUMN,Bintang 3,PalmParkSurabaya,positive,Kualitas Makanan & Restoran
faradila faizah,2025,5,kamar luas semuanya berfungsi dengan baik aula luas dan nyaman untuk acara kajian dan semacamnya,BUMN,Bintang 3,PalmParkSurabaya,positive,Kebersihan & Kenyamanan Kamar
dini muliani,2025,5,Pelayanan di resto dan makanan enak dan saya sangat suka atas pelayanan mba regina sangat rendah hati dan menyenangkan,BUMN,Bintang 3,PalmParkSurabaya,positive,Kualitas Makanan & Restoran
adi wisnugraha,2025,4,menggunakan aulanya untuk pertemuan cukup nyaman resto nyaman toilet bersih berada di atas kaza mall,BUMN,Bintang 3,PalmParkSurabaya,positive,Kebersihan & Kenyamanan Kamar
Norehan Abdul Karim,2025,5,Semua nya bagus makanan nya enak dianjurkan sgt siapa nk tinggal di hotel nie layanan baik oleh regina friendly,BUMN,Bintang 3,PalmParkSurabaya,positive,Pelayanan Staf & Keramahan
