User Name,Review Count,Rating,Review Text
Devi Nurhasanah,12,5,aloft hotel wahid hasyim kamar oke bersih fasilitas kamar lengkap disediakan setrikaan dan meja untuk setrika pakaian mantapp lokasi stategis dekat pusat kota pelayanan super ramah saat checkout sudah di reminder dipastikan tidak ada barang tertinggal udah yakin kalau barang semua aman ternyata baru engeh ketinggalan cincin yang sempet dilepas sebelum tidur omg lgsng gercep kontek via call info kalau ada brg ketinggalan dan minta dibantu housekeeping untuk cek alhamdulillah aman dan akhirnya balik lg untuk pickup terimakasih banyak staff hotel aloft wahid hasyim pertahankan pelayanan dan kualitas next time staycation lagi disini
Desy Sulistyaningrum,2,5,menginap di sini sangat cocok buat mereka yang ingin kulineran banyak banget tempat makan yang dekat kami seringnya cukup jalan kaki karena di sepanjang jalan banyaak tempat makan mau kelas atas sampai kaki lima bisa dibilang hotel ini ramah lingkungan mulai dari sabun shampoo air minum semua pakai yang bisa diisi ulang tidak pakai air sekali pakai air yang disediakan kemasan kaca yang wadahnya bisa dipakai ulang disediakan refill untuk isi air disediakan sepeda juga bahkan tempat sampah disediakan dengan wadah terpisah untuk plastik dll anorganik dan juga sampah basah organik
Arif Budi Prasetyo,31,4,room bersih dan cukup lengkap hanya cukup sempit untuk hotel bintang 4 beberapa pelayan cukup ramah hanya sedikit yang kurang senyum breakfast cukup lengkap dengan varian nusantara yang secara mengejutkan cukup enak rasanya apabila dibandingkan dengan hotel lain
Faustine Gunawan,39,5,kalau ada bintang 10 aku kasih bintang 10 semua ada dari mesin es colokan disetiap meja kursi nyaman buat kerja refill air posisi ditengah kota saat kemana mana mudah banyak makanan disekitar breakfast banyak banget menu makannya fresh juice jamu sampai kopi respon staff nya juga cepat sangat amat membantu bahkan bantu untuk cari jalan supaya enggak kena ganjil genap staff di tempat breakfast bener ramah selalu tanya butuh apa lagi tidak
reza fauziah,4,2,saya menghubungi pihak hotel untuk keperluan booking ruang meeting namun saya merasa proses komunikasi belum berjalan optimal respons yang diberikan cukup lambat sehingga saya perlu melakukan follow up beberapa kali sebelum mendapatkan jawaban informasi yang disampaikan juga masih terbatas dan kurang jelas saya berharap ke depannya pihak hotel dapat meningkatkan kejelasan informasi serta ketepatan waktu dalam merespons agar proses koordinasi dapat berjalan lebih efektif dan profesional saya yakin dengan perbaikan tersebut pelayanan akan jauh lebih baik dan dapat mendukung pengalaman pelanggan dengan lebih positif terimakasih
Ivaldy Gesca Deandra,110,5,fasilitas untuk meeting sangat memuaskan kebetulan kesini lunchnya bertemakan masakan padang dan beberapa variasi lain cukup rindu dengan style masakan sunda dan petenya
kasamemo,1,3,makasi yaa satpamnya ramah bangett buat yang lagi jalan kakii kesel saja padahal gw papasan dan gw berusaha aware ke dia karena yang gw tau aloft tu staff nya ramah ramahh dua satpam tuh melotot saja hehe bahkan kek nganggep gw gaada apa karna gw jalan kaki ya pakai seragam tas punggung dan bawa minuman dari luar gembel banget kali ya tapi gpp mood kembali baik saat masuk pengecekan tas dan lgsg disambut staff lain nanyain mo ke ruang apa tengsin saja gw haha pertahanin buat yang ramah ramah yaa keren bgtt yang ramah ramah ke semua yang ada di kawasan hotel makanan aloft jg enak
antung rj,117,5,kamar bersih nyaman tenang 4 5 breakfast enak variatif asian western 5 5 lokasi strategis di pusat kota bisnis transportasi umum mudah dan tempat kuliner 5 5
Layung Violeta,12,5,sangat senang sekali stay di aloft wahid hasyim hospitalitynya bagus hotelnya nyaman bersih dan terasa sangat homey para staff nya ramah dan sangat membantu salah satu pengalaman saya dibantu oleh team it bp henry saat saya ingin terkoneksi ke wifi hotel dan satu lagi perjalanan bisnis saya berjalan lancar karena saya bisa melakukan aktifitas pekerjaan dengan koneksi internet yang luar biasa cepat dan tanpa buffer sama sekali will back again to this hotel terima kasih aloft dan para staffnya
Lerry Tutu,13,5,hotelnya oke pelayanannya apalagi stafnya friendly kopi dan juice boleh take away dari tempat breakfast ke kamar barang ketinggalan resepsionis gercep bantu gosend trims
