User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Aspek
meyn habur,2025,5,kemarin kami mengadakan pertemuan di hotel ini dan merasa sangat terbantu dengan layanan yang diberikan mulai dari kesiapan ruangan kelengkapan fasilitas hingga keramahan staf semuanya luar biasa,KOMPETITOR,Bintang 4,CrownePlazaLabuanBajo,positive,Pelayanan Staf & Keramahan
Yanti BurungIndonesia,2025,5,kamar dansa nyaman untuk pertemuan pelayanan juga baik membuat sukses ke depan bua crowne plaza hotel,KOMPETITOR,Bintang 4,CrownePlazaLabuanBajo,positive,Kebersihan & Kenyamanan Kamar
My Day,2025,5,kamar sangat nyaman layanan bintang 5 fasilitas lengkap makanan sangat memuaskan,KOMPETITOR,Bintang 4,CrownePlazaLabuanBajo,positive,Kebersihan & Kenyamanan Kamar
Tori Agustrin,2025,5,nyaman dekat bandara dan pelayanan nya baik pasti kembali,KOMPETITOR,Bintang 4,CrownePlazaLabuanBajo,positive,Lokasi & Akses Strategis
Badri Septian,2025,5,semoga lancar pembangunannya,KOMPETITOR,Bintang 4,CrownePlazaLabuanBajo,positive,Harga & Value for Money
priyo jatmiko,2025,5,mantap,KOMPETITOR,Bintang 4,CrownePlazaLabuanBajo,positive,Harga & Value for Money
S mino,2025,5,mau cari solusi,KOMPETITOR,Bintang 4,CrownePlazaLabuanBajo,positive,Harga & Value for Money
Ade Firman,2025,5,bagus semuannya,KOMPETITOR,Bintang 4,CrownePlazaLabuanBajo,positive,Harga & Value for Money
Randi Yustian,2026,5,top pokonya mah,KOMPETITOR,Bintang 4,CrownePlazaLabuanBajo,positive,Harga & Value for Money
Paul Britton,2025,5,saya sangat berterima kasih kepada staf atas pengalaman menginap yang luar biasa dan tidak lupa dari saat Anda dijemput hingga ucapan selamat tinggal terakhir Anda benar benar merasa seperti bagian dari keluarga tidak ada tugas yang terlalu sulit dan mereka selalu siap membantu hotel ini baru berusia beberapa bulan dan sangat bersih kamar saya tertata rapi dengan perabotan minimalis modern ada banyak sekali stopkontak untuk mengisi semua perangkat elektronik Anda semua kamar mandi memiliki meja rias besar dan cermin rias dengan lampu kamar saya memiliki kamar mandi besar dengan pancuran hujan dan pilihan pancuran genggam saya sedikit khawatir tentang kebisingan dari bandara tetapi penerbangan terakhir sekitar pukul 8 malam jadi,KOMPETITOR,Bintang 4,CrownePlazaLabuanBajo,positive,Kebersihan & Kenyamanan Kamar
Ali,2025,5,sejak kami tiba di hotel ini membuat kami merasa benar benar istimewa waktunya sungguh luar biasa untuk memastikan setiap detailnya mudah dimulai dari penjemputan bandara hingga mengatur tur pulau komodo yang tak terlupakan properti ini sendiri sangat menawan dengan lobi terbuka yang terang dan ruang ruang yang dirancang dengan cermat untuk bersantai yang paling mengesankan kami adalah stafnya setiap orang yang kami temui mulai dari resepsi hingga petugas kebersihan memperlakukan kami dengan hangat dan penuh perhatian koki dan tim restoran menyajikan hidangan yang begitu lezat dan personal sehingga kami tidak ingin makan di tempat lain sentuhan sentuhan kecil perhatian dan perhatian yang luar,KOMPETITOR,Bintang 4,CrownePlazaLabuanBajo,positive,Pelayanan Staf & Keramahan
iKS,2025,5,hotel baru di labuan bajo ini menawarkan pengalaman yang luar biasa dan sangat pribadi sejak saat kami tiba tim concierge ivan willy dan dion dan tim reservasi nanda audi dan claudia membuat kami merasa benar benar hangat dan diterima dengan desain kamar modern dan minimalis dan semuanya sangat bersih restoran dan kafe menyajikan makanan lezat yang semakin istimewa berkat tim yang ramah dan penuh perhatian terutama anita hans oby tanya dan dan danu secara keseluruhan seluruh staf termasuk pimpinan tim ichsan indra dan faisal telah melakukan yang terbaik untuk membuat kunjungan kami benar berkesan dihargai pengalaman luar biasa yang membuat kami merasa sangat beruntung dan beruntung sebagai tamu,KOMPETITOR,Bintang 4,CrownePlazaLabuanBajo,positive,Kebersihan & Kenyamanan Kamar
CY Y (이름바꿔),2025,5,Saya sudah memeriksa masuk hari ini dan hotelnya baru dibangun jadi sangat bersih semua staf ramah dan membantu saya bahkan mendapatkan upgrade platinum ke suite king lokasinya agak jauh dari pusat kota tetapi layanan antar jemput gratis ke pusat kota dan penjemputan dari bandara bukanlah masalah besar,KOMPETITOR,Bintang 4,CrownePlazaLabuanBajo,positive,Pelayanan Staf & Keramahan
Carson Genis,2025,5,kami menikmati masa yang luar biasa di crowne plaza lokasinya sangat dekat dengan bandara dion menjemput kami dari bandara dan ramah proses cek masuk sangat menyenangkan kamarnya luas dan indah saya dan istri menikmati waktu kami kami pasti akan kembali hotelnya memang indah tapi yang paling menonjol adalah stafnya,KOMPETITOR,Bintang 4,CrownePlazaLabuanBajo,positive,Pelayanan Staf & Keramahan
Jonathan Marpaung,2025,5,Hotel baru ini terletak kurang dari 5 menit berkendara dari bandara komodo kamarnya luar biasa dan stafnya luar biasa fasilitas yang ditawarkan meliputi kolam renang pusat kebugaran 24 jam restoran dan antar jemput bandara juga tersedia layanan antar jemput tiga kali sehari ke pusat kota layanan antar jemput juga tersedia jika Anda ingin pergi ke mana pun di bawah meskipun Anda perlu memesan terlebih dahulu secara keseluruhan ini adalah pengalaman yang luar biasa dan saya pasti akan menginap di sini lagi di masa depan,KOMPETITOR,Bintang 4,CrownePlazaLabuanBajo,positive,Fasilitas Hotel (Kolam/Gym/Spa)
Hoa Tran,2025,5,Semua staf sangat ramah kamar sangat bersih dan nyaman hotel ini sangat dekat dengan bandara hanya membutuhkan waktu 5 menit,KOMPETITOR,Bintang 4,CrownePlazaLabuanBajo,positive,Kebersihan & Kenyamanan Kamar
FS,2026,5,hotel dan layanan pelanggan yang luar biasa akses mudah ke tepi pantai pasar suvenir terdekat dan lokasi penjemputan yang mudah untuk operator tur,KOMPETITOR,Bintang 4,CrownePlazaLabuanBajo,positive,Lokasi & Akses Strategis
William John Widjaja,2026,5,pemandangan gunung yang luar biasa pelayanan yang sangat baik dari kak rosalia ancie dan umam sangat direkomendasikan,KOMPETITOR,Bintang 4,CrownePlazaLabuanBajo,positive,Pelayanan Staf & Keramahan
Zain Ally,2025,5,pelayanan yang sangat baik di bar uluwae vila mendapatkan pelayanan yang luar biasa,KOMPETITOR,Bintang 4,CrownePlazaLabuanBajo,positive,Kualitas Makanan & Restoran
Billy Hagantha Sembiring,2025,1,Pelayanannya sangat buruk lambat dan listriknya terburuk yang pernah ada,KOMPETITOR,Bintang 4,CrownePlazaLabuanBajo,negative,Harga & Value for Money
Charlosh Berlyan,2025,5,Yang terbaik,KOMPETITOR,Bintang 4,CrownePlazaLabuanBajo,positive,Harga & Value for Money
Michelle Leong,2026,4,Crowne Plaza lbj masih sangat baru saat saya menginap resmi dibuka pada November 2025 lokasinya strategis di sebelah bandara dengan layanan antar jemput bandara gratis sehingga sangat nyaman dan praktis untuk menginap jika Anda memiliki penerbangan pagi jika kami menginap lebih lama kami akan menggunakan antar jemput hotel gratis ke pusat kota yang merupakan fasilitas yang bagus jika Anda tidak ingin menggunakan sepeda kamarnya nyaman satu kekurangan adalah toilet tidak memiliki kipas ventilasi dan ini menyebabkan beberapa jamur tumbuh di kamar mandi nat meskipun masih baru dibangun kolam renang bagus dengan kolam yang lebih kecil yang cocok untuk anak-anak di restoran ada 1 restoran kami mencoba sarapan kartu ala yang lezat hanya untuk,KOMPETITOR,Bintang 4,CrownePlazaLabuanBajo,positive,Lokasi & Akses Strategis
winton,2026,5,makanan enak saya suka,KOMPETITOR,Bintang 4,CrownePlazaLabuanBajo,positive,Kualitas Makanan & Restoran
