User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Aspek
Our Memories,2025,5,menghibur dan bersih semua perlengkapan ada bahkan sampai setrikaan dan mejanya sarapan bervariasi kolam renangnya banyak permainan,KOMPETITOR,Bintang 4,HolidayInnResortBatam,positive,Kebersihan & Kenyamanan Kamar
Elfrida Samosir,2025,5,sudah sekitar 4 kali tinggal di sini meskipun hotel lama tapi saya suka karena bersih dan kamar yang cukup luas untuk tinggal bersama keluarga dan ramah anak anak kolam renang juga sangat besar ada pembatasan untuk area orang dewasa dan anak anak jadi kita pun tidak perlu khawatir untuk sarapan pagi juga bagus saya dan keluarga suka sangat banyak juga orang yang tinggal untuk bisnis karena dekat dengan area industri saya pasti akan kembali untuk menginap di sini,KOMPETITOR,Bintang 4,HolidayInnResortBatam,positive,Kebersihan & Kenyamanan Kamar
Puji Cipta Sularno,2025,4,Anak anak seneng nginep di sini sarapan nya banyak macamnya variatif pokoknya kamarnya luas suasana tenang tidak berisik,KOMPETITOR,Bintang 4,HolidayInnResortBatam,positive,Kebersihan & Kenyamanan Kamar
Teleshop Z,2025,4,Saya sangat rekomendasi hotel ini sih bersih luas dan tentu saja membuat saya puas izin minus jika boleh apakah lowongan kerja minus,KOMPETITOR,Bintang 4,HolidayInnResortBatam,positive,Kebersihan & Kenyamanan Kamar
Venie Ang,2025,5,sudah lama mau menginap di sini karena kelihatannya tempatnya bagus dan nyaman dan benar saja hotel ini benar2 sesuai ekspektasi saya suasana yang asri tenang tidak terlalu ramai ada bathub dan memiliki kamar yang luas hotelnya memang hotel lama namun masih terjaga dan soal kebersamaan saya akuungi jempol staf hotelnya juga ramah2 banyak tempat untuk berfoto yang bagus rasanya 2 hari disini sangat kurang mungkin akan datang lagi dengan durasi menginap yang lebih lama,KOMPETITOR,Bintang 4,HolidayInnResortBatam,positive,Kebersihan & Kenyamanan Kamar
Siawase Abdi dalem,2025,1,untuk perhatian pihak manajemen hotel holiday inn resort ini mungkin pengalaman pertama bagi kluarga kami setelah sekian tempat hotel resort dibatam baru kali ini mengalami hal yang kurang enak yang biasanya kami mendapat hak layanan yang memuaskan tapi di hotel holiday inn resort ini kami sangat kecewa pada awalnya kami mencoba2 saja trnyata setelah runding kluarga kami putuskan untuk mengambil 2 kamar akan tetapi pada hari h nya betapa kecewanya ketika pihak resepsionis bilang kamarnya harus berbaju2an istri saya di gedung 3 sedang anak2 kami di gedung 1 harapan awal kami sudah akan membayangkan menginap kamar bersanding dengan anak2 kami tapi apa yang bisa kami lakukan,KOMPETITOR,Bintang 4,HolidayInnResortBatam,negative,Harga & Value for Money
Jen Jen,2025,4,Lokasinya jauh dari kota buat yang bawa anak anak bisa santai di hotel dan berenang serta kegiatan lain kolam renangnya bagus tapi yang mau ngemall agak jauh bisa naik bus shuttle dari hotel tapi ada jadwalnya lumayan buat keluarga yang mau menginap kamarnya luas tapi agak tua saja kain bed juga ada yang sudah banyak sebaiknya diganti karena banyak tamu dari luar negri seperti tamu yang saya bawa mereka bilang hotel bagus tapi kok sprei sarapan juga lumayan oke,KOMPETITOR,Bintang 4,HolidayInnResortBatam,positive,Fasilitas Hotel (Kolam/Gym/Spa)
Sipolin z,2025,2,lokasi kurang bagus hampir setiap malam udara sekitar berasap tidak nyaman untuk bersantai di kamar luar karena itu asap walau gk tau juga sumbernya darimana,KOMPETITOR,Bintang 4,HolidayInnResortBatam,negative,Harga & Value for Money
Jimin Laundry,2025,5,tadinya agak ragu karena resort lama ya tapi saat lihat sendiri duh layak banget ngabisin akhir pekan disana sekeluarga suite 2 kamar tidur bagus dan bersih semua perlengkapan ada bahkan sampai setrikaan dan mejanya sarapan bervariasi kolam renangnya banyak permainan dan btw kesana tidak perlu bawa mobil sendiri kok bnyk juga yang memakai grab atau gocar,KOMPETITOR,Bintang 4,HolidayInnResortBatam,positive,Kebersihan & Kenyamanan Kamar
Susi angelina Nasution,2025,5,hotel yang keren semua fasilitas ada dan sangat lengkap ada taman bermain sehingga anak anak tidak bosan kolam renang ada perahu pisang dan lain lain sehingga tidak bosan hanya berenang ada banyak permainan seperti tenis dan pingpong sangat cocok untuk yang perlu hiburan selain itu tersedia juga sepeda untuk keliling2 di sekitaran hotel top banget pokoknya,KOMPETITOR,Bintang 4,HolidayInnResortBatam,positive,Fasilitas Hotel (Kolam/Gym/Spa)
