User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Aspek
Bibaa Fadillah,2025,5,puas sekali menginap di sini pemandangan kota nya bagus pelayan oke staf gercep dan ramah sekali makanannya enak enak pula puas banget pokonya terimakasih bapak gm pak roy amazon sudah menjamu dengan ramah juga kepada tim housekeeping bagas yang sudah membantu saya mempersiapkan semua kebutuhan semoga hotel dafam selalu menjadi tempat yang nyaman untuk pulang bertemu dengan anda,KOMPETITOR,Bintang 3,HotelDafamSemarang,positive,Pelayanan Staf & Keramahan
Jafar Sodiq Assegaf,2025,5,catatan saya pesan lewat traveloka hotel yang lebih cocok untuk transit atau menginap dalam urusan bisnis pekerjaan pelayanannya tidak mengeluh tapi fasilitas dan kamar menurut saya sangat membutuhkan perbuat pertama furnitur yang dipakai cukup jadul dan sewa rusak terutama laci meja dan meja samping tempat tidur kedua ditempatkan di dekat kasur minimal padahal fasilitas hiburannya juga minim tv tidak berfungsi dengan baik bahkan sangat sulit untuk hanya mengakses youtube apalagi yang lain di sini sangat bergantung pada hiburan dari hape ketiga pengaturan ac antara dingin sekali atau tidak dingin sulit untuk tinggal di tempat yang nyaman apalagi jika kamarnya ditinggalkan ac mati dan harus dihidupkan kembali keempat kebis lagi,KOMPETITOR,Bintang 3,HotelDafamSemarang,negative,Kebersihan & Kenyamanan Kamar
chocolate cake,2025,5,Awalnya sedikit kecewa karena saat memesan sudah kamar non merokok namun kamar yang tersedia sisa merokok ternyata kesalahn dari tiket dot com untungnya stafnya sangat bagus perhatian setelah saya komplain langsung menyediakan kamar non merokok untuk 2 malam karena saya bawa anak kecil dan saat ada kendala ac tidak dingin lapor langsung di cek dan menyelesaikan permasalahannya mantap tidak jadi mengecewakan karena pelayanannya cekatan,KOMPETITOR,Bintang 3,HotelDafamSemarang,positive,Pelayanan Staf & Keramahan
Galih St,2025,2,ac dibatasi 25 sudah diturunkan suhunya tetap naik lagi tv suara auto turun sampai tidak terdengar tv terlihat lama dan kecil sarapan makanan tidak enak tidak ada kolam renang untuk bintang 4 menurutku tidak sesuai,KOMPETITOR,Bintang 3,HotelDafamSemarang,negative,Infrastruktur (AC/WiFi/Parkir/Air)
Mia Jumiati,2025,5,kamar dan pelayanannya luar biasa nyesel banget cm satu hari tinggal di sini kamarnya bersih dan rapi kerja baik mas bagas terimakash jg atas sambutan yang hangat dari gm pak roy amazon merasa rumah pdhl lg liburan,KOMPETITOR,Bintang 3,HotelDafamSemarang,positive,Kebersihan & Kenyamanan Kamar
kevin gitrianda,2025,5,overall kamar bagus layanan bagus satpam sopan dan membantu perbaikan berhenti kontak perlu diperbaiki tangan juga perlu peremajaan kembali,KOMPETITOR,Bintang 3,HotelDafamSemarang,positive,Kebersihan & Kenyamanan Kamar
Salzabilla,2025,1,Pelayanan kamar sangat buruk brankas tidak bisa membuka telepon ke respisi tapi tidak percaya juga petugasnya sampai 30 menit layanan buruk,KOMPETITOR,Bintang 3,HotelDafamSemarang,negative,Pelayanan Staf & Keramahan
Siska anis,2025,5,Yang terbaik tinggal disini gataunya lagi mens minta pembalut di kasi gratis terus ada kemja tertinggal langsung gercep di info terima kasih dafam masyaallah sukses selalu,KOMPETITOR,Bintang 3,HotelDafamSemarang,positive,Harga & Value for Money
Fikky Febryan Abu Haura,2025,4,hotel yang secara keseluruhan cukup baik saya menginap untuk perjalanan bisnis ada tugas kantor area resepsionis unik dan estetik instagrammable cukup kamar bersih nyaman ac cukup dingin satu kekurangan di fasilitas pembuat kopi yang ternyata tidak bisa dipakai saya pikir hanya di kamar saya saja yang tidak bisa di kamar lain yang ditempati rekan kerja pun tidak bisa lokasi agak lumayan dari daerah keramaian kuliner jadi perlu naik kendaraan lagi ambil menu burung biru sarapan jadi jadi tapi cukup layak dengan harga ngga terlalu banyak pilihan menu gratis shuttle ke bandara secara keseluruhan dianjurkan terima kasih,KOMPETITOR,Bintang 3,HotelDafamSemarang,positive,Kebersihan & Kenyamanan Kamar
Fauzan Kautsar,2025,3,disini bukan nginep tapi ada acara beberapa kali layar error yang paling parah fasilitas musholla kotor banget itu karpet isinya debu doang makanan standar,KOMPETITOR,Bintang 3,HotelDafamSemarang,negative,Infrastruktur (AC/WiFi/Parkir/Air)
