User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Aspek
Yenny Hong,2025,5,pelayanan yang sangat ramah kamar hotel yang bersih kamar kami ber 3 dengan anak di hari pertama minta tambahan tangan di hari kedua dst otomatis disediakan 3 tangan tanpa permintaan lagi sungguh pelayanan yang baik kami pesan 2 kamar hanya kamar kedua ada sedikit bau rokok entah kenapa karena kami menginap 4 malam diberikan juga makanan gratis siang rasa makanannya enak sesuai selera anak2 senang menginap di sini tapi syg kolam renangnya kecil dan ckp dangkal,KOMPETITOR,Bintang 3,HarperMangkubumi-Yogyakarta (1),positive,Kebersihan & Kenyamanan Kamar
Puteri Dwi Kusuma,2025,5,lokasinya strategis sangat dekat dengan lokasi wisata dan stasiun kereta dari awal masuk staf sudah ramah lobby hotel sangat nyaman karena kursinya benar benar banyak kamarnya oke tidak ada masalah nyaman tangan juga bersih tidak ada masalah hanya saja kamar mandinya tidak cepat kering setelah digunakan saya lebih suka yang kamar mandi cepat kering terus untuk saya kaca pembatas antara kamar mandi dan toilet nanggung banget 1 perbedaan ketinggian lantai hampir sama cuma beda tipe 2 kaca pembatas cuma 1 2 mandi jadi klo udara akan nyiprat ke area toilet memperbaiki dikasih pintu kaca sekalian buat kamar mandi terus untuk menu makanan lebih baik kalian yang masak kira kebanyakan orang suka,KOMPETITOR,Bintang 3,HarperMangkubumi-Yogyakarta (1),positive,Lokasi & Akses Strategis
Muhammad Ichsan Nasution,2025,5,lokasi sangat strategis sekali dekat kemana2 air juga tersedia di dispenser semakin mudah jika membutuhkan udara masukannya menu sarapannya dibuat lebih bervariasi lagi contoh untuk hidup memasak bisa dibuat bervariasi menuunya begitu juga dengan menu hidangan lain setiap hari penampilanannya sama bisa dibuat lebih bervariasi untuk yang lain sudah oke,KOMPETITOR,Bintang 3,HarperMangkubumi-Yogyakarta (1),positive,Lokasi & Akses Strategis
mega nila,2025,5,kamar bersih dilengkapi dengan tv pintar namun suara kulkas lumayan terdengar nyaring staf ramah proses cek masuk keluar tidak sangat cepat menu sarapan favorit kami nasi goreng lokasi sangat dekat dengan tugu malioboro di depannya juga terdapat angkringan bakmi jawa banyak toko oleh2 dagadu,KOMPETITOR,Bintang 3,HarperMangkubumi-Yogyakarta (1),positive,Kebersihan & Kenyamanan Kamar
frdnsyh,2025,5,Sangat memuaskan kolam renangnya cukup besar dan terawat cocok untuk relaksasi pelayanannya sangat ramah dan profesional awal cek masuk oleh kak april memberikan kesan yang yang baik fasilitasnya lengkap dan kamar kamarnya bagus bersih serta nyaman untuk beristirahat,KOMPETITOR,Bintang 3,HarperMangkubumi-Yogyakarta (1),positive,Kebersihan & Kenyamanan Kamar
Cahaya Aja,2025,5,jadi pengalaman nyaman menginap di hotel ini sangat menyenangkan kamar yang bersih dan nyaman fasilitas yang lengkap dan pelayanan yang ramah dan profesional apalagi mbak april lokasinya juga strategis dekat dengan pusat kota dan tempat wisata sangat direkomendasikan untuk siapa saja yang mencari penginapan yang berkualitas,KOMPETITOR,Bintang 3,HarperMangkubumi-Yogyakarta (1),positive,Kebersihan & Kenyamanan Kamar
Zahwa Fanesa,2025,5,hotelnya bagus kamar rapi dan bersih pegawai semua sangat ramah dan baik di resto perlengkapan keamanan resepsionis maupun menu housekeeping makanan beragam rasa makanan oke terimakasih khususnya untuk pelayanan mbak april yang sangat membantu,KOMPETITOR,Bintang 3,HarperMangkubumi-Yogyakarta (1),positive,Kebersihan & Kenyamanan Kamar
Debora Antika,2025,5,Suka sekali 10x sama suasana hotelnya tenang bersih dan kamarnya benar benar bikin betah fasilitas di dalam kamar juga lengkap jadi tidak perlu repot cari apa apa terima kasih juga buat kak april pelayanannya tulus dan ramah banget merasa ditemenin dari awal sampai akhir,KOMPETITOR,Bintang 3,HarperMangkubumi-Yogyakarta (1),positive,Kebersihan & Kenyamanan Kamar
cindy purwaningrum,2025,5,pengalaman yang oke punya lokasi strategis dapat kamar di lantai 8 yang bisa lihat gn merapi kamar luas dan bersih sarapan yang varian nya beragam dan selalu enak terimakasih kepada mbak arvel dan tim resto yang sigap banget padahal lagi buru-buru di sarapan kita akan kembali ke sini,KOMPETITOR,Bintang 3,HarperMangkubumi-Yogyakarta (1),positive,Kebersihan & Kenyamanan Kamar
Liana Aprilianti,2025,5,hotel harper malioboro yogyakarta memberikan pengalaman menginap yang sangat menyenangkan kamarnya bersih nyaman dan stafnya modern ramah serta responsif terhadap kebutuhan tamu lokasinya strategis dan mudah diakses dari pusat kota sarapan yang disajikan juga bervariasi dan lezat sangat direkomendasikan untuk perjalanan bisnis maupun liburan keluarga tidak lupa terima kasih atas pelayananannya mbak april,KOMPETITOR,Bintang 3,HarperMangkubumi-Yogyakarta (1),positive,Kebersihan & Kenyamanan Kamar
dhiena puspita,2025,5,kamar nyaman makanan banyak variasi dengan rasa yang enak lokasi dekat kemana2 semua staf dari satpam resepsionis resto ramah dan sangat membantu pasti akan menginap lagi di sini,KOMPETITOR,Bintang 3,HarperMangkubumi-Yogyakarta (1),positive,Kebersihan & Kenyamanan Kamar
Emanuella Widianto,2025,5,hotelnya bersih lokasinya sangat strategis dekat malioboro dan tugu jogja pelayanannya bagus menu ramah sarapannya bervariasi dan enak juga tersedia es krim favoritnya anak2 kami sangat merekomendasikan terima kasih keramahannya mbak rani dan tim,KOMPETITOR,Bintang 3,HarperMangkubumi-Yogyakarta (1),positive,Lokasi & Akses Strategis
Nadilla Tasya Natasa,2025,5,kamarnya bagus lumayan luas layanannya bagus dan layak untuk harga segitu sama ditawarin minuman baru jg sama kaka lely dan chelsy pelayanan ramah dan baagus,KOMPETITOR,Bintang 3,HarperMangkubumi-Yogyakarta (1),positive,Kebersihan & Kenyamanan Kamar
