User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Aspek
Piet Rietveld,2025.0,5,Patra Resort adalah tempat yang sangat menyenangkan dan otentik untuk menghabiskan hari Anda benar-benar bali seperti taman tidak hanya mengundang Anda dengan penuh kasih sayang tetapi lebih membuat Anda mengalami keserbagjaan dan perawatan yang berdedikasi selalu cepat dan akurat layanan besar dan segar makanan lokal yang lezat kolam renang dan barnya dilengkapi dengan baik dan dioperasikan terima kasih barlady puspa untuk tindakan yang memadai Anda ketika saya menyakitkan diri saya margaritas Anda benar-benar menyembuhkan terima kasih kolam renang pahlawan budiarta untuk layanan dan perhatian baik masuk rumah sakit Anda adalah dukungan besar masuk saat-saat ketidak,BUMN,Bintang 5,ThePatraBaliResort&Villas,positive,Pelayanan Staf & Keramahan
Danielle Dufall,2025.0,1,Kami memilih untuk tinggal di Patra Resort villa karena alasan yang indah saya tinggal di sini banyak kali sebelumnya dan baru saja memiliki bayi saya pikir itu akan menjadi tempat yang sempurna untuk bersantai sayangnya bahwa ingatan telah benar-benar hancur resort telah jelas turun buruk apa yang pernah 5 bintang pengalaman sekarang merasa terlupakan dan rundown itu menghina untuk dikenakan biaya penuh untuk apa yang diiklankan sebagai resort mewah ketika ia hampir memenuhi standar 3 bintang handuk masuk bentuk yang lebih buruk daripada yang di akhir rendah motel tipis dan jelas tahun,BUMN,Bintang 5,ThePatraBaliResort&Villas,negative,Harga & Value for Money
Kimia Ghajar,2025.0,2,Saya tiba kemarin untuk merawat diri saya untuk tinggal yang bagus masuk hotel bintang 5 sebelum penerbangan panjang namun sejak kedatangan saya saya tidak mengalami apa-apa yang memiliki hubungannya dengan hotel bintang 5 bahkan di check masuk staf benar-benar bingung meskipun mereka bertanya apakah saya ingin suite atas atau bawah mereka ingin memberi saya yang atas setidaknya kopi rasanya baik masuk restoran hotel bintang 5 meskipun saya membayar dengan kartu kredit dan mereka memiliki rincian saya saya saya tidak dapat mengenakan apa-apa ke kartu saya tagihan akhir Anda memesan salad dengan tuna dan apa yang Anda dapatkan tidak tuna mereka telah dipotong jadi,BUMN,Bintang 5,ThePatraBaliResort&Villas,negative,Kualitas Makanan & Restoran
Zeze Alfaeras,2025.0,5,dekat banget sama bandara tidak perlu repot jika mau kebandara tinggal jalan kaki pemandangan langsung kepantai enak banget buat joging pagi atau sore dipinggir pantai matahari terbenam oke punya kolam renang bersih bangunan kamarnya terlihat agak tua tapi bersih dan rapi makanannya enak dan beragam staf sangat ramah,BUMN,Bintang 5,ThePatraBaliResort&Villas,positive,Kebersihan & Kenyamanan Kamar
Tomas Colard,2025.0,3,Hotel yang layak kamar-kamarnya bagus tapi mendapatkan sedikit tua kolam renang juga nyaman bahwa itu dekat dengan bandara akhirnya staf juga ramah tidak akan merekomendasikan untuk makan di hotel karena harga tiga kali lipat dari apa yang Anda bayar masuk kota sedikit konyol taksi ke bandara adalah 150k idr untuk 2 menit drive mengambil tangkap dan itu adalah 25k sedikit aneh,BUMN,Bintang 5,ThePatraBaliResort&Villas,negative,Fasilitas Hotel (Kolam/Gym/Spa)
Martana Yasa,2025.0,5,Hotel bintang lima terbaik dekat bandara tempat yang bagus selama menunggu penerbangan bersih dan nyaman kamar kualitas terbaik makanan dan minuman kolam renang yang bagus untuk bersantai itu bukan hanya hotel tapi banyak cerita di belakang properti ini terima kasih untuk berbagi pengalaman besar sejarah budaya Balinese paling direkomendasikan dan harus mencoba,BUMN,Bintang 5,ThePatraBaliResort&Villas,positive,Kebersihan & Kenyamanan Kamar
Danit Henarusti,2025.0,5,sangat berkesan menginap selama 2 malam disini staf hotel ramah menu sarapan enak dan beragam layanan buggy car yang siap antar jemput dari lobi ke kamar lokasi pinggir pantai dan dekat bandara sungguh menjadi pengalaman yang indah kolam renang luas sangat cocok jika membawa keluarga menginap di sini semoga lain kali ke bali lagi bisa tinggal di patra sukses selalu,BUMN,Bintang 5,ThePatraBaliResort&Villas,positive,Pelayanan Staf & Keramahan
Yggdrasiii GBX,2025.0,1,bau air keran bau udara semua lembab dan banyak kecoa dan nyamuk tidak dapat diterima untuk tinggal masuk kamar ini dengan anak-anak dan orang tua ketika saya mencoba untuk membatalkan akomodasi mereka melakukan segala sesuatu yang mereka bisa untuk menghindari itu terus membuat alasan dan sengaja membuat hal-hal sulit bagi saya mereka bahkan mencoba untuk menghentikan saya dari menjawab telepon ketika saya memanggil untuk bantuan saya menghabiskan lima jam berdebat dengan mereka yang menyebabkan saya kehilangan banyak rencana lain dan memaksa saya untuk mencari hotel lain masuk tengah malam meskipun semua ini saya masih bersikeras untuk membatalkan tempat ini hanya mengintimidasi,BUMN,Bintang 5,ThePatraBaliResort&Villas,negative,Infrastruktur (AC/WiFi/Parkir/Air)
Amel Seddiki,2025.0,2,"Sayangnya, keberadaan kami di hotel ini sangat mengecewakan kamar yang kami terima sangat tua dan tidak seperti foto yang ditampilkan secara online ada juga nyamuk di dalam kamar yang membuat kami tinggal sangat tidak nyaman kami juga terkejut bahwa bahkan air minum dasar tidak disediakan dan kami diberitahu kami harus membayar untuk itu sesuatu yang harus menjadi layanan standar untuk tamu secara keseluruhan pengalaman tidak nyaman dan pasti tidak layak harga saya berharap manajemen meningkatkan kebersihan memperbarui kamar dan memberikan fasilitas dasar yang lebih baik",BUMN,Bintang 5,ThePatraBaliResort&Villas,negative,Kebersihan & Kenyamanan Kamar
Jacqui Oakley,2025.0,5,Saya benar-benar terkejut dengan resor ini kolam renang dan makanan di mana staf yang indah fantastis sedikit gaya tua tetapi kamar lebih seperti apartemen masih bersih dan indah hanya keluhan adalah spa tidak baik tanda diposting dan tidak memiliki gaya resor tempat yang indah ini harus memiliki,BUMN,Bintang 5,ThePatraBaliResort&Villas,positive,Fasilitas Hotel (Kolam/Gym/Spa)
David Rudge,2025.0,5,Kami hanya overnighted karena kami memiliki pesawat untuk menangkap hari berikutnya kamar besar tapi itu adalah kompleks besar tapi mereka akan membawa Anda dan mengambil Anda masuk sebuah kereta golf satu-satunya negatif saya pikir makanan dan minuman terlalu mahal untuk apa itu sarapan buffet baik-baik saja memiliki lebih baik tapi oke karena termasuk masuk harga kamar,BUMN,Bintang 5,ThePatraBaliResort&Villas,negative,Kualitas Makanan & Restoran
Nidhi Dave,2025.0,5,Villa lokasi yang indah dan santai pilihan layanan kamar yang bagus terbatas dan waktu tunggu yang lebih lama untuk makanan untuk dikirimkan tetapi jika tidak itu adalah tempat yang baik untuk bersantai dan hanya memiliki waktu keluarga yang baik pantai di hotel tidak sangat bersih kolam renang dll baik untuk nongkrong keluar,BUMN,Bintang 5,ThePatraBaliResort&Villas,positive,Fasilitas Hotel (Kolam/Gym/Spa)
Meredith McGregor,2025.0,4,Saya memesan Patra sangat menit terakhir sekitar pukul 11 malam untuk melarikan diri dari hotel yang sangat bising saya berharap saya telah memesan tempat ini awalnya itu begitu dekat dengan bandara meskipun tidak diganggu oleh kebisingan penerbangan dan memiliki suasana resor yang indah dengan taman tropis yang bagus kamar tidak persis baru tetapi sangat nyaman dan tempat tidur dan bantal yang sangat baik yang paling penting itu tenang dan saya bisa tidur yang tidak akan terjadi jika saya tinggal di hotel lain sarapan adalah sangat baik banyak Indonesia barat Cina dan pilihan vegetarian India suka penutup Indonesia,BUMN,Bintang 5,ThePatraBaliResort&Villas,positive,Kebersihan & Kenyamanan Kamar
Bayu Bhaskara,2025.0,5,Wow luar biasa ruang dansa adalah sempurna makanan yang baik dan layanan yang sangat baik membawa dari staf mereka dari lobi Anda dapat menemukan yang menarik menakjubkan lukisan pemandangan Anda tidak bisa membayangkan bagaimana mereka melukis ada kolam renang juga baik ada memiliki acara untuk malam Jumat untuk tarian klasik terima kasih banyak untuk membawa kami momen terbaik di sini,BUMN,Bintang 5,ThePatraBaliResort&Villas,positive,Pelayanan Staf & Keramahan
haydee cowper,2025.0,2,setting dan taman-taman indah akomodasi itu lelah dan sedikit kurang baik beberapa staf sangat membantu tetapi itu membutuhkan waktu 15 menit untuk membawa kami minum dan tidak sibuk beberapa staf yang tidak peduli dan lebih buruk kasar makanan masuk sarapan buffet itu sangat tidak beraroma tidak segar kecuali untuk stasiun telur yang dimasak segar kolam renang itu bagus namun hanya ada beberapa ruang tamu di sekitar mereka sehingga hampir tidak ada pelanggan bisa akomodasi hotel ini telah direkomendasikan kepada kita dan kami kecewa dan tidak akan kembali,BUMN,Bintang 5,ThePatraBaliResort&Villas,negative,Fasilitas Hotel (Kolam/Gym/Spa)
PAUL 10,2025.0,3,Kamar-kamarnya paling tidak mengesankan bagian sedikit tertanggal tapi tetap bersih villa sebenarnya itu sendiri adalah sarapan yang indah sangat baik layanan yang sangat baik hanya ada untuk satu malam dan adalah tinggal yang baik,BUMN,Bintang 5,ThePatraBaliResort&Villas,positive,Kebersihan & Kenyamanan Kamar
Bagjoz Mezzo,2025.0,1,hotel bintang 5 yang menurut kami kurang layak tiba di lokasi jam 2 saat tidak ada penyambutan petugas didepan untuk menurunkan proses koper cek masuk lama saya sudah pesan di ota traveloka tapi di resepsionis tidak ada data alhasil kita harus menunggu dulu cukup lama 1 jam menunggu tidak kunjung dipanggil jika kita tidak bertanyain mungkin tidak akan di panggil2 setelah drama menunggu 1 jam 10 menit kita bisa kamar dan kecewa lagi ketika ke kamar tidak ada buggi yang mengantar kita jalan ke kamar yang lumayan jauh dari lobi jika saya pribadi tidak masalah tapi kita berlima 1 bayi umur 1 tahun 5 tahun setelah sampai kamar kunci nya pun tidak bisa,BUMN,Bintang 5,ThePatraBaliResort&Villas,negative,Harga & Value for Money
Rahul Goyal,2025.0,3,Tergantung pada bagaimana seseorang memiliki preferensi rekomendasi saya adalah properti ini di bawah par 1 tepat di pantai umum Anda dapat berjalan-jalan di sekitar pantai umum tidak sangat bersih 2 kamar disediakan untuk kita adalah sekitar 1 km dari lobi kita membutuhkan 15 menit untuk berjalan sebagian besar waktu kita menunggu buggy untuk naik bersiap untuk berjalan di bawah matahari panas 3 dua restoran di properti dan restoran Italia kami menemukan selalu kosong menu makanan restoran lain memiliki pilihan terbatas suatu hari kami memiliki moring tur 6 45 bahkan staf tidak tiba sampai 6 45 pagi untuk sarapan meskipun seharusnya terbuka 6 30 4 saya,BUMN,Bintang 5,ThePatraBaliResort&Villas,positive,Lokasi & Akses Strategis
Amy Price,2025.0,5,Kami memiliki tinggal yang fantastis di patra kamar-kamar sangat luas dan bersih kolam renang sangat besar dengan pemandangan laut semua makanan sangat lezat tapi yang paling penting staf sangat ramah dan membantu akan sangat merekomendasikan patra untuk setiap transit karena sangat dekat dengan bandara,BUMN,Bintang 5,ThePatraBaliResort&Villas,positive,Kebersihan & Kenyamanan Kamar
Andrey Belov,2025.0,1,"Oh, ini bukan hotel bintang lima tapi cocok dengan harga yang sangat rendah kamarnya sangat kuno dan berkerikil semua bau dan jatuh ke tanah handuk kuning mandi hampir tidak lembaran kerja digunakan bar dan restoran benar-benar tua dan makanan tidak menginspirasi pantai adalah tempat sampah Anda terus mendengar bandara",BUMN,Bintang 5,ThePatraBaliResort&Villas,negative,Kualitas Makanan & Restoran
Daniel Jackson,2025.0,2,Saya tidak berpikir saya akan tinggal di sini lagi tempat itu tua dan kamar itu memiliki bau aneh itu adalah kamar unik 2 lantai tapi kami tidak menghargai harus naik tangga ke kamar tidur dan furnitur di bawah sangat tidak nyaman juga pantai di hotel super penuh orang dan sampah kotor di mana-mana satu tambah itu dekat bandara,BUMN,Bintang 5,ThePatraBaliResort&Villas,negative,Harga & Value for Money
